character
Alastor Moody
Albus Dumbledore
Alecto Carrow
Amelia Bones
Amos Diggory
Amycus Carrow
Andromeda Tonks 
Angelina Johnson
Anthony Goldstein
Antonin Dolohov
Arabella Figg
Argus Filch
Ariana Dumbledore
Arthur Weasley
Arthur Weasley 
Astoria Greengrass
Augusta Longbottom
Augustus Rookwood
Aurora Sinistra
Barty Crouch
Beedle The Bard
Bellatrix Lestrange
Bertha Jorkins
Blaise Zabini
Bloody Baron
Bob Ogden
Bogrod
Buckbeak
Cedric Diggory
Charity Burbage
Charlie Weasley
Cho Chang
Colin Creevey
Corban Yaxley
Cornelius Fudge
Cuthbert Binns
Dean Thomas
Delphi Riddle
Dennis Creevey
Dirk Cresswell
Dobby
Dolores Umbridge
Draco Malfoy
Dudley Dursley
Eloise Midgen
Elphias Doge
Emmeline Vance
Ernie Macmillan
Fawkes
Fenrir Greyback
Filius Flitwick
Fleur Delacour
Fluffy
Frank Bryce
Fred Weasley
Gabrielle Delacour
Garrick Ollivander
Gellert Grindelwald
George Weasley 
Gilderoy Lockhart
Ginny Weasley
Gornuk
Graham Montague
Grawp
Great Aunt Muriel
Gregory Goyle
Griphook
Hannah Abbott
Harry Potter
Hedwig
Helena Ravenclaw
Hermione Granger
Hokey 
Horace Slughorn
Igor Karkaroff
Irma Pince
James Potter
John Dawlish
Justin Finch-Fletchley
Katie Bell
Kreacher 
Lavender Brown
Lily Luna Potter
Lily Potter
Lord Voldemort
Lucius Malfoy
Ludo Bagman
Luna Lovegood
Mad-Eye Moody
Mafalda Hopkirk
Magorian
Marge Dursley
Marvolo Gaunt
Millicent Bulstrode
Minerva Mcgonagall
Molly Weasley
Mundungus Fletcher
Nagini
Neville Longbottom
Nicolas Flamel
Norbert
Nymphadora Tonks
Oliver Wood 
Olympe Maxime
Pansy Parkinson
Parvati Patil
Penelope Clearwater
Peter Pettigrew
Petunia Dursley
Phineas Nigellus Black
Pigwidgeon
Pius Thicknesse
Pomona Sprout
Pomona Sprout 
Quirinus Quirrell
Reginald Cattermole
Remus Lupin
Rolanda Hooch
Ron Weasley
Ronan
Rubeus Hagrid
Rufus Scrimgeour
Scabior
Seamus Finnigan
Septima Vector
Severus Snape
Sirius Black
Stan Shunpike
Sturgis Podmore
Susan Bones
Sybill Trelawney
Ted Tonks 
Terry Boot
Trevor 
Vernon Dursley
Vincent Crabbe
Walden Macnair
Wilhelmina Grubbly-Plank
Wilkie Twycross
Winky
Xenophilius Lovegood
Zacharias Smith
